Merk,Soort,Percentage alcohol,Brouwerij
Queueu de Charrue Triple,tripel,9%,Brouwerij Van Steenberge in opdracht van Brouwerij Vanuxeem,1992-heden
Quackelbeens Donker,"hoge gisting, chocoladebier","7,1%",Alain Quackelbeen,
Quintine Ambrée,hoge gisting,"8,5%",Brasserie Ellezelloise,?-heden
Quintine Bio Organic,"hoge gisting, biologisch","5,9%",Brasserie Ellezelloise,?-heden
Quintine Blonde,hoge gisting,8%,Brasserie Ellezelloise,?-heden
Rader Ambrée,amber,"10,5%",Stokerij Radermacher,
Rader Blonde,blond,"6,5%",Stokerij Radermacher,
Ramée Blond,"blond, tripel, abdijbier","6,8%","Brasserie du Bocq, in opdracht",2001-heden
Ramée Triple Amber,"amber, tripel, abdijbier","7,5%","Brasserie du Bocq, in opdracht",2001-heden
Ramée Triple Blond,"blond, tripel, abdijbier","7,5%","Brasserie du Bocq, in opdracht",2001-heden
Ramée Wit,Wit Abdijbier,5%,"Brasserie du Bocq, in opdracht",2001-heden
Rebel Local,IPA,"8,5%",Brouwersverzet,
Redbach,fruitbier,"3,5%",Brouwerij Rodenbach,2004-2007
Redbocq,fruitbier,"3,1%",Brasserie Du Bocq,?-heden
Redor,pils,5%,Brasserie Dupont,
Regal Christmas,bruin,"8,1%",Brasserie Du Bocq,
Reinaert Blond,amber,7%,De Proefbrouwerij,?-heden
Reinaert Grand Cru,amber,"9,5%",De Proefbrouwerij,?-heden
Reinaert Tripel,blond,9%,De Proefbrouwerij,?-heden
René,blond,7%,Brouwerij De Graal,2016-heden
Reninge Bitter Blond,blond,7%,Seizoensbrouwerij Vandewalle,?-?
Reninge Oud Bruin,bruin,6%,Seizoensbrouwerij Vandewalle,?-?
Revolucion Mexicana'10,lage gisting,5%,Group John Martin,?-?
Ridder,alcoholarm,"2,25%",Brouwerij Het Sas,1988-heden
Riebedebie,tripel,9%,Brouwerij De Bie,?-heden
Ribaldus blond,blond,"7,5%",bierfirma Ribaldus,?-?
Riva Blanche,witbier,5%,Brouwerij Riva,1985-2007
Robustus,quadrupel,10%,Brouwerij Het Gulden Spoor,?-?
Rochefort 6,trappist,"7,5%",Abdij Notre-Dame de Saint-Rémy,?-heden
Rochefort 8,trappist,"9,2%",Abdij Notre-Dame de Saint-Rémy,?-heden
Rochefort 10,trappist,"11,3%",Abdij Notre-Dame de Saint-Rémy,?-heden
Rodenbach,oud bruin,"5,2%",Brouwerij Rodenbach,?-heden
Rodenbach Alexander,oud bruin,6%,Brouwerij Rodenbach,?-heden
Rodenbach Caractère Rouge,oud bruin,7%,Brouwerij Rodenbach,2011-heden
Rodenbach Grand Cru,oud bruin,6%,Brouwerij Rodenbach,?-heden
Rodenbach Rosso,oud bruin,4%,Brouwerij Rodenbach,2014-heden
Rodenbach Vintage,oud bruin,7%,Brouwerij Rodenbach,2010-heden
Rogier,speciale belge,"6,5%",Traagwater,?-?
Romy Pils,pils,"5,1%",Brouwerij Roman,1945-heden
Romy Luxe,pils,"5,6%",Brouwerij Roman,?-?
Ronsischen Dubbel,winterbier,"7,4%",bierfirma Slaapmutske,?-?
Ronsischen Tripel,tripel,8%,bierfirma Slaapmutske,?-?
Roodebol,fruitbier,"6,6%",Brouwerij Loterbol,?-?
Rosdel,amber,"5,8%",Brouwerij Nieuwhuys,?-?
Rosé de Gambrinus,"fruitbier, lambiek","5,5%",Brasserie Cantillon,1986-heden
Rose des Remparts,fruitbier,"4,5%",Brasserie La Binchoise,1992-heden
Rosé Max,fruitbier,"4,5%",Brouwerij Bockor,2009-heden
Roste Jeanne,Belgian ale,7%,De Struise Brouwers,?-heden
Rousse de Brabant,koper-amber,"5,2%",Groep John Martin,?-heden
RSRV,"biologisch, roodbruin",10%,Brouwerij Jessenhofke,2010-heden
Rubbens,,,Brouwerij van Zonnegem,
's Lands Souvenirs Du Terroir,bruin,11%,Brouwerij De Landtsheer,?-?
Safir,pils,5%,InBev,1939-2014
Saint-Benoît Blonde,"blond, hoge gisting","6,3%",Brasserie du Bocq,1988-heden
Saint-Benoît Brune,"donker, hoge gisting","6,5%",Brasserie du Bocq,1988-heden
Saint-Lamvinus,"fruitbier, lambiek",6%,Brouwerij Cantillon,1993-heden
Saint-Monon Ambrée,amber,"6,5%",Brasserie Saint-Monon,1996-heden
Saint-Monon au Miel,"tripel, honingbier",8%,Brasserie Saint-Monon,1996-heden
Saint-Monon Brune,dubbel,"7,5%",Brasserie Saint-Monon,1996-heden
Saison 1858,saison,"6,4%",Brasserie du Bocq,?-?
Saison 1900,"amber, saison","5,2%",Brouwerij Lefebvre,1982-heden
Saison 2000,saison,"6,5%",Brasserie des Légendes,?-?
Saison Cazeau,saison,5%,Brasserie de Cazeau,?-?
Saison de Dottignies,saison,"5,5%",Brouwerij De Ranke,?-?
Saison de la Senne,saison,"4,3%",Brasserie de la Senne,?-?
Saison de Mai,saison,"8,3%",Brasserie Saint-Monon,?-?
Saison de Pipaix,saison,6%,Brasserie à Vapeur,1785-heden
Saison d'Epeautre,"blond, spelt",6%,Brasserie de Blaugies,1994-heden
Saison d'Erpe-Mere,saison,"6,9%",Brouwerij De Glazen Toren,2004-heden
Saison de Silly,"saison, amber",5%,Brasserie de Silly,?-?
Saison Dupont,saison,"6,5%",Brouwerij Dupont,1884-heden
Saison Dupont Bio,"saison, biologisch","5,5%",Brouwerij Dupont,1990-heden
Saison Dupont Cuvée Dry Hopping,saison,"6,5%",Brouwerij Dupont,?-?
Saison Regal,"saison, amber","5,5%",Brasserie du Bocq,1940-heden
Saison St-Feuillien,"saison, amber","6,5%",Brasserie Saint-Feuillien,?-?
Saison Voisin,"saison, amber",5%,Brasserie des Légendes,2001-heden
Sans Pardon,"Imperial Stout, zwart",11%,Brouwerij De Dochter van de Korenaar,?-?
Santa Bee,bruin kerstbier,"8,5%",Brouwerij Boelens,2006-heden
Sara Blond,"blond, hoge gisting, boekweit",6%,Brasserie de Silenrieux,1991-heden
Sara Bruin,"bruin, hoge gisting, boekweit",6%,Brasserie de Silenrieux,1991-heden
Sas Brune,hoge gisting,"5,3%",Brouwerij Het Sas,?-?
Sas Export,export pils,5%,Brouwerij Het Sas,?-?
Sas Pils,pils,5%,Brouwerij Het Sas,?-?
Sasbräu,Dortmunder,"6,3%",Brouwerij Het Sas,?-?
Satan Black,"donker, hoge gisting",8%,Brouwerij De Block,?-heden
Satan Gold,"blond, hoge gisting",8%,Brouwerij De Block,1986-heden
Satan Red,Vlaams bruin,8%,Brouwerij De Block,1992-heden
Satan White,Witbier,5%,Brouwerij De Block,2016-heden
Saxo,hoge gisting,8%,Brasserie Caracole,1994-heden
Schaarbeekse Oude Kriek 3 Fonteinen,"fruitbier, lambiek",5%,Geuzestekerij 3 Fonteinen,?-?
Schapenkop,tripel,8%,Brouwerij 't Paenhuys,?-?
Scheldepils,pils,5%,de De Scheldebrouwerij,2002-heden
Schoenlappertje,zwarte-bessenbier,5%,De Scheldebrouwerij,1996-2011
Schultenbräu,pils,"4,9%",Aldi,?-heden
SchuppenAas,amber,"6,5%",Brouwerij Het Nest,2012-heden
SchuppenBoer,tripel,"8,5%",Brouwerij Het Nest,2007-heden
Scotch Crowned Trees Scotch,scotch,"7,2%",Inbev (voorheen Brouwerij Wielemans,1926-heden
Scotch Crowned Trees Stout,stout,%,Brouwerij Wielemans,1921-jaren'60
Scotch Silly,"hoge gisting, scotch","7,8%",Brasserie de Silly,?-?
Seefbier,hoge gisting,%,meerder artisanale historische brouwerijen Antwerpse Brouw Compagnie,voor 1677-1914
Seefbier,hoge gisting,"6,5%",Antwerpse Brouw Compagnie,2012-heden
Serafijn Blond,"blond, hoge gisting","6,2%",Microbrouwerij Achilles,1999?-heden
Serafijn Donker,"bruin, hoge gisting",8%,Microbrouwerij Achilles,1999?-heden
Serafijn Grand Cru,"amber, hoge gisting",9%,Microbrouwerij Achilles,1999?-heden
Serafijn Tripel,tripel,8%,Microbrouwerij Achilles,1999?-heden
Serafijn Kerstlicht,"amber, kerstbier",7%,Microbrouwerij Achilles,1999?-heden
Sernia Brune,"scotch, etiketbier","7,2%",Inbev,1926-heden
Sezoens Blond,"hoge gisting, blond",6%,Brouwerij Martens,1880-?
Sezoens Quattro,"hoge gisting, amber",8%,Brouwerij Martens,?-?
Shark Pants,Double IPA,9%,De Struise Brouwers,?-?
Silly Pils,pils,5%,Brasserie de Silly,1956-heden
Silly Pils Bio,"pils, biologisch",5%,Brasserie de Silly,?-heden
Sinpalsken Blond,hoge gisting,"8,5%",Brouwerij De Cock,1996-heden
Sinpalsken Donker,hoge gisting,"8,5%",Brouwerij De Cock,1996-heden
Sint-Adriaansbier Blond,abdijbier,"6,5%",Brouwerij Van Steenberge,?-?
Sint-Adriaansbier Bruin,abdijbier,,Brouwerij Van Steenberge,?-?
Sint-Amatus,quadrupel,"10,5%",De Struise Brouwers,?-?
Sint Canarus Tripel,tripel,"7,5%",Huisbrouwerij Sint Canarus,2002-heden
Sint Canarus 10,tripel,"8,73%",Huisbrouwerij Sint Canarus,2012-heden
Sinterklaas,Blond,"8,5%",Brouwerij Boelens,?-?
Sint-Gummarus Dubbel,,7%,Brouwerij Sint-Jozef,?-?
Sint-Gummarus Tripel,"hoge gisting, tripel",8%,Brouwerij Sint-Jozef,?-?
Sint-Idesbald blond,hoge gisting,"6,5%",Brouwerij Huyghe,?-heden
Sint-Idesbald dubbel,hoge gisting,8%,Brouwerij Huyghe,?-heden
Sint-Idesbald tripel,hoge gisting,9%,Brouwerij Huyghe,?-heden
Sint-Idesbald Rousse,hoge gisting,7%,Brouwerij Huyghe,2004-heden
Slaapmutske Blond,"hoge gisting, blond","6,4%",Brouwerij Slaapmutske,2001-heden
Slaapmutske Bruin,"hoge gisting, bruin",6%,Brouwerij Slaapmutske,2000-heden
Slaapmutske Bio Tripel,"biologisch, tripel , goudblond",8%,Brouwerij Slaapmutske,2009-heden
Slaapmutske Hop Collection ft. Kent Goldings,"hoge gisting, single hop",10%,Brouwerij Slaapmutske,2011-heden
Slaapmutske Tripel,"biologisch, tripel , goudblond","8,1%",Brouwerij Slaapmutske,2002-heden
Slaapmutske Christmas,"hoge gisting, kerstbier","7,4%",Brouwerij Slaapmutske,2008-heden
Slaapmutske Dry Hopped Lager,"lage gisting, Dortmunder","5,3%",Brouwerij Slaapmutske,2007-heden
Slaapmutske Winterbier,"hoge gisting, bruin",6%,Brouwerij Slaapmutske,2000-2001
Slaefke,tripel,"7,5%",De Verhuisbrouwerij,2011-heden
Slag Lager,pils,5%,Brouwerij Slaghmuylder,1926-1945 en 1958-heden
Slaghmuylder's Kerstbier,"lage gisting, blond","5,2%",Brouwerij Slaghmuylder,?-?
Slaghmuylder's Paasbier,"lage gisting, blond","5,2%",Brouwerij Slaghmuylder,?-?
Slim³,bovengisting,8%,SLIM,?-?
Sloeber,hoge gisting,"7,5%",Brouwerij Roman,1983-heden
Smisje Kerst,donker amber,11%,Brouwerij Smisje,?-?
Smiske,blond,7%,Brouwerij Smisje,2010-heden
Smiske Bruin,dubbel,7%,Brouwerij Smisje,2010-heden
Smiske Extra,tripel,7%,Brouwerij Smisje,2012-heden
Smiske Winter,donker amber,11%,Brouwerij Smisje,?-heden
Snaaskerstbier,kerstbier,8%,Brouwerij Deca,?-?
Snoek Blond,hoge gisting,"7,5%",“Mout- en Brouwhuis De Snoek”,?-?
Snoek Bruin,hoge gisting,"5,5%",“Mout- en Brouwhuis De Snoek”,?-?
Snowbuk,saison,6%,Brouwerij Gulden Spoor,?-?
Snuffelbeer,"goud, hoge gisting",6%,Brouwerij De Regenboog,?-?
Sparta Pils,pils,5%,Brouwerij Van Steenberge,?-?
Special 6 Block,"amber, hoge gisting",6%,Brouwerij De Block,?-?
Special De Ryck,"hoge gisting, amber","5,5%",Brouwerij De Ryck,1920-heden
Special Extra Export Stout,stout,9%,De Dolle Brouwers,?-?
Special Roman,bruin,"5,5%",Brouwerij Roman,?-2013
Speciale 1900,amber,5%,Brouwerij Haacht,2007-heden
Spéciale de Brabant,pils,"5,3%",Groep John Martin,?-?
Speculoos Bier,hoge gisting,8%,Brasserie d'Ecaussinnes,?-?
Spelziale,ale,"4,5%",Brasserie Millevertus,?-?
Spioenkopje,"fruitbier, witbier",5%,den Haene,?-?
Spitfire Oud Balegems,amber,"8,0%",Brouwerij Van Steenberge,1978-?
St. Bernardus Abt 12,hoge gisting,"10,5%",Brouwerij St. Bernardus,1946-heden
St. Bernardus Christmas Ale,kerstbier,10%,Brouwerij St. Bernardus,?-heden
St. Bernardus Extra 4,blond seizoensbier,"4,8%",Brouwerij St. Bernardus,?-'70 en 2014-heden
St. Bernardus Pater 6,hoge gisting,"6,7%",Brouwerij St. Bernardus,?-heden
St. Bernardus Prior 8,hoge gisting,8%,Brouwerij St. Bernardus,1946-heden
St. Bernardus Tripel,hoge gisting,8%,Brouwerij St. Bernardus,1992-heden
St. Bernardus Wit,witbier,"5,5%",Brouwerij St. Bernardus,2003-heden
Sint-Idesbald Réserve Ten Duinen Blond,Erkend Belgisch Abdijbier,"6,5%",Brouwerij Huyghe,?-heden
Sint-Idesbald Réserve Ten Duinen Dubbel,Erkend Belgisch Abdijbier,8%,Brouwerij Huyghe,?-heden
Sint-Idesbald Réserve Ten Duinen Rousse,Erkend Belgisch Abdijbier,7%,Brouwerij Huyghe,2004-heden
Sint-Idesbald Réserve Ten Duinen Tripel,"Erkend Belgisch Abdijbier, tripel",9%,Brouwerij Huyghe,?-heden
Spécial de Nouvel An,,"9,5%",Brouwerij Dupont,1980-heden
St. Benoit Blonde,abdijbier,"6,3%",Brasserie du Bocq,?-?
St. Benoit Brune,abdijbier,"6,5%",Brasserie du Bocq,?-?
St. Feuillien Blonde,Erkend Belgisch Abdijbier,"7,5%",Brouwerij St-Feuillien,1955?-heden
St. Feuillien Brune Réserve,Erkend Belgisch Abdijbier,"7,5%",Brouwerij St-Feuillien,1955?-heden
Grand Cru St-Feuillien Grand Cru,Erkend Belgisch Abdijbier,"9,5%",Brasserie Saint Feuillien,?-heden
St. Feuillien Triple,Erkend Belgisch Abdijbier,"8,5%",Brouwerij St-Feuillien,1955?-heden
St. Feuillien Cuvée de Noël,"Erkend Belgisch Abdijbier, kerstbier","8,5%",Brouwerij St-Feuillien,?-heden
St. Firminus Blond,abdijbier,,Brasserie Du Bocq,?-?
St. Firminus Bruin,abdijbier,,Brasserie Du Bocq,?-?
St. Louis Cassis,fruitbier,"4,5%",Brouwerij Van Honsebrouck,?-?
St. Louis Cassis Kir Royal,fruitbier,"4,5%",Brouwerij Van Honsebrouck,?-?
St. Louis Framboise,frambozenbier,"5 en 4,5%",Brouwerij Van Honsebrouck,?-?
St. Louis Frambozen,frambozenbier,5%,Brouwerij Van Honsebrouck,?-?
St. Louis Gueuze,geuze,"5 en 4,5%",Brouwerij Van Honsebrouck,?-?
St. Louis Gueuze Fond Tradition,geuze,5%,Brouwerij Van Honsebrouck,?-?
St. Louis Kriek Lambic,kriek,"4,5%",Brouwerij Van Honsebrouck,?-?
St. Louis Peche,fruitbier,"3,5%",Brouwerij Van Honsebrouck,?-?
St. Louis Premium Cassis,fruitbier,"3,2%",Brouwerij Van Honsebrouck,?-?
St. Louis Premium Faro,faro,"3,2%",Brouwerij Van Honsebrouck,?-heden
St. Louis Premium Framboise,fruitbier,"2,8%",Brouwerij Van Honsebrouck,?-heden
St. Louis Premium Kriek,kriek,"3,2%",Brouwerij Van Honsebrouck,?-heden
St. Louis Premium Pêche,fruitbier,"2,6%",Brouwerij Van Honsebrouck,?-heden
St. Paul Blond,abdijbier,"5,3%",Brouwerij Sterkens,?-?
St. Paul Double,abdijbier,"6,9%",Brouwerij Sterkens,?-?
St. Paul Speciale,abdijbier,"5,5%",Brouwerij Sterkens,?-?
St. Paul Tripel,"abdijbier, tripel",5%,Brouwerij Sterkens,?-?
St. Sebastiaan Dark,abdijbier,"6,9%",Brouwerij Sterkens,?-?
St. Sebastiaan Grand Cru,abdijbier,"7,6%",Brouwerij Sterkens,?-?
Star Blond,blond,"0,4%",Brouwerij Haacht,?-?
Steenbrugge Blond,"abdijbier, blond","6,5%",Brouwerij Palm,2004-heden
Steenbrugge Dubbel Bruin,"abdijbier, tripel, bruin","6,5%",Brouwerij Palm,1914-1943 en 1958-? en 1972-heden
Steenbrugge Tripel,abdijbier,"8,7%",Brouwerij Palm,1958-? en 1972-heden
Steenbrugge Wit,witbier,5%,Brouwerij Palm,2004-heden
Steendonk,witbier,"4,5%",Brouwerij Duvel Moortgat,?-?
Steenuilke,hoge gisting,"6,5%",Brouwerij De Rijck,?-heden
Stella Artois,"pils, lage gisting","5,2%",InBev,1926-heden
Stepa,"tripel, suikervrij",8%,Stepaja bvba,?-?
Stille Nacht,donker,12%,De Dolle Brouwers,?-heden
Stoere Wulp,bruin,"6,5%",De Proefbrouwerij,?-?
Stoeren Bonk,amber,"6,3%",Brouwerij Van Steenberge,?-?
Stoeren Bonk Blond,blond,8%,Brouwerij Van Steenberge,?-?
Stout Leroy,zoete stout,5%,Brouwerij Het Sas,?-heden
Stoute Bie,donkerbruin,"5,5%",Brouwerij De Bie,?-?
Stout Mokke,stout,9%,Bieren Cabardouche,2012-heden
Stouterik,stout,"4,5%",Brasserie de la Senne,?-heden
Straffe Hendrik,"hoge gisting, tripel",9%,Brouwerij De Halve Maan,1981-heden
Straffe Hendrik Quadrupel,"hoge gisting, speciaalbier",11%,Brouwerij De Halve Maan,2010-heden
Straffe Hendrik Heritage,"hoge gisting, speciaalbier",11%,Brouwerij De Halve Maan,2011-heden
Straffe Hendrik Wild,"hoge gisting, tripel",9%,Brouwerij De Halve Maan,2014-heden
Straffe Toeback,hoge gisting,"9,5%",Scheldebrouwerij,2009-heden
Straffe Winter,geuze,8%,Geuzestekerij 3 fonteinen,?-?
Strandgaper,goud,"6,2%",De Scheldebrouwerij,1996-heden
Strandjuttersbier Mong De Vos,quadrupel,"9,2%",bierfirma Den Haene,?-?
Stropken,amber,7%,Brouwerij Bios,1982-heden
Strubbe Pils,pils,"5,2%",Brouwerij Strubbe,?-heden
Struise Rosse,"hoge gisting, Belgische pale ale",5%,De Struise Brouwers,?-?
Struise Witte,hoge gisting,5%,De Struise Brouwers,?-?
Struiselensis,"hoge gisting, Belgische blonde ale",7%,De Struise Brouwers,?-?
Suma Pils,etiketbier,5%,Brouwerij Het Sas,1986-heden
Super 64,"hoge gisting, amber",5%,Brasserie de Silly,?-?
Super des Fagnes Blonde,"hoge gisting, blond","7,5%",Brasserie des Fagnes,1994?-heden
Super des Fagnes Brune,"hoge gisting, bruin","7,5%",Brasserie des Fagnes,1994?-heden
Super des Fagnes Griottes,"hoge gisting, kriek","4,8%",Brasserie des Fagnes,?-heden
Super des Fagnes Noel,"hoge gisting, bruin, kerstbier","8,5%",Brasserie des Fagnes,?-heden
Super des Fagnes Scotch,"hoge gisting, scotch","7,5%",Brasserie des Fagnes,?-heden
Super NoAH,IPA,"4,9%",Brouwers Verzet in Brouwerij De Ranke,
Superpils,pils,"4,3%",Brouwerij Strubbe,?-heden
Sur-les-Bois Ambrée,hoge gisting,8%,Brasserie La Botteresse de Sur-les-Bois,?-?
Sur-les-Bois Blonde,hoge gisting,7%,Brasserie La Botteresse de Sur-les-Bois,?-?
Sur-les-Bois Brune,hoge gisting,9%,Brasserie La Botteresse de Sur-les-Bois,?-?
Svea IPA,IPA,5%,De Struise Brouwers,?-?
't Baronneke,stout,"6,5%",'t Hofbrouwerijke,
't Gaverhopke Blondje,hoge gisting,"6,8%",Brouwerij 't Gaverhopke,?-heden
't Gaverhopke Bruintje,hoge gisting,"6,8%",Brouwerij 't Gaverhopke,?-heden
't Gaverhopke Kerstbier,"hoge gisting, kerstbier","6,8%",Brouwerij 't Gaverhopke,?-heden
't Gaverhopke Kriek,"hoge gisting, fruitbier","6,8%",Brouwerij 't Gaverhopke,?-heden
't Gaverhopke Paasbier,"hoge gisting, paasbier",8%,Brouwerij 't Gaverhopke,?-heden
't Schoenlappertje,zwarte-bessenbier,"6,5%",De Scheldebrouwerij,1996-2002
't Schoenlappertje,zwarte-bessenbier,5%,De Scheldebrouwerij,2002-2011
't Smisje + dubbel IPA,IPA,10%,Brouwerij De Regenboog,2007-2010
't Smisje Bananenbier,fruitbier,6%,Brouwerij De Regenboog,2004-2010
't Smisje BBBourgondier,hoge gisting,12%,Brouwerij De Regenboog,2002-2010
't Smisje Blond,hoge gisting,6%,Brouwerij De Regenboog,1995-2010
't Smisje Calva Reserva,hoge gisting,12%,Brouwerij De Regenboog,?-2010
't Smisje Catherine The Great Imperial Stout,stout,10%,Brouwerij De Regenboog,2007-2010
't Smisje Cuvee 2005,hoge gisting,10%,Brouwerij De Regenboog,2005-2005
't Smisje Dubbel,hoge gisting,9%,Brouwerij De Regenboog,1997-2010
't Smisje Fiori,hoge gisting,7%,Brouwerij De Regenboog,2007-2010
't Smisje Grande Reserva,hoge gisting,11%,Brouwerij De Regenboog,?-2010
't Smisje Great Reserva,hoge gisting,10%,Brouwerij De Regenboog,?-2010
't Smisje Halloween,hoge gisting,"10,5%",Brouwerij De Regenboog,2001-2010
't Smisje Honing,honingbier,6%,Brouwerij De Regenboog,2004-2010
't Smisje Honingbier Bruin,honingbier,6%,Brouwerij De Regenboog,1999-2008
't Smisje Kuvee Elektrik 979 W,hoge gisting,9%,Brouwerij De Regenboog,2008-2010
't Smisje Meso,hoge gisting,"2,5%",Brouwerij De Regenboog,2007-2007
't Smisje Plus,IPA,10%,Brouwerij De Regenboog,2007-2010
't Smisje Sleedoornbier,fruitbier,6%,Brouwerij De Regenboog,?-2010
't Smisje Sleedoorn Extra,fruitbier,7%,Brouwerij De Regenboog,?-2010
't Smisje Speciaal,hoge gisting,"10,5%",Brouwerij De Regenboog,2001-2010
't Smisje Tripel,tripel,9%,Brouwerij De Regenboog,1998-2010
't Zelfde,blond,4%,Brouwerij Bosteels,?-heden
't Zwarte Gat Bier,donkerblond,6%,Brouwerij De Regenboog,?-heden
Taras Boulba,blond,"4,5%",Brasserie de la Senne,?-heden
Tatsevoet,speciale belge,6%,Brouwerij Het Alternatief,?-heden
Tempelier,speciaalbier,%,Brouwerij De Sleutel,?-?
Tempelier,speciaalbier,6%,Brouwerij Corsendonk,?-heden
Ter Dolen Armand,blond hoppig,7%,Brouwerij Ter Dolen,?-heden
Ter Dolen Blond,blond,"6,1%",Kasteelbrouwerij De Dool,1994-heden
Ter Dolen Donker,bruin,"7,1%",Brouwerij Ter Dolen,1997-heden
Ter Dolen Kriek,fruitbier,"4,5%",Brouwerij Ter Dolen,2003-heden
Ter Dolen Tripel,tripel,"8,1%",Brouwerij Ter Dolen,1999-heden
Ter Dolen Winter,winterbier,"9,1%",Brouwerij Ter Dolen,?-heden
Terracotta,blond,7%,Brouwerij De Regenboog,2002-heden
Thouroutenaere,,%,brouwerij Louwaege,1987-2002
Thouroutenaere,,%,brouwerij Lefebvre,2003-2003
Thouroutenaere,blond,"8,5%",Alken-Maes,2004-heden
Timmermans Caveau Gueuze,geuze,"5,5%",Brouwerij Timmermans,?-heden
Timmermans Faro Lambic,faro,4%,Brouwerij Timmermans,?-heden
Timmermans Framboise Lambic,fruitbier,4%,Brouwerij Timmermans,?-heden
Timmermans Gueuze Lambic,geuze,5%,Brouwerij Timmermans,?-heden
Timmermans Kriek Lambic,kriek,4%,Brouwerij Timmermans,?-heden
Timmermans Kriek Retro,fruitbier,5%,Brouwerij Timmermans,?-heden
Timmermans Lambicus Blanche,witbier,"4,5%",Brouwerij Timmermans,?-heden
Timmermans Oude Gueuze,lambiek,"5,5%",Brouwerij Timmermans,?-heden
Timmermans Oude Kriek,kriekenlambiek,"5,5%",Brouwerij Timmermans,?-heden
Timmermans Pêche Lambic,fruitbier,4%,Brouwerij Timmermans,?-heden
Timmermans Strawberry Lambic,fruitbier,4%,Brouwerij Timmermans,?-heden
Timmermans Warme Kriek,kriek,4%,Brouwerij Timmermans,?-heden
Tineke Van Heule,hoge gisting,8%,Brouwerij Gulden Spoor,?-heden
Titje,"hoge gisting, witbier",5%,Brasserie de Silly,1990-heden
Toetëlèr Amber Tripel,tripel,"8,5%",Brouwerij Den Toetëlèr,2011-heden
Toetëlèr Speculaas,speculaasbier,"8,5%",Brouwerij Den Toetëlèr,
Toetëlèr Wit,witbier,"5,2%",Brouwerij Den Toetëlèr,
Tongerlo Blond,"hoge gisting, abdijbier",6%,Brouwerij Haacht,?-heden
Tongerlo Bruin,"hoge gisting, abdijbier",6%,Brouwerij Haacht,?-heden
Tongerlo Christmas,"hoge gisting, abdijbier","6,5%",Brouwerij Haacht,?-heden
Tongerlo Prior,"hoge gisting, abdijbier",8%,Brouwerij Haacht,?-heden
Tongerlo Winterbier,"hoge gisting, abdijbier",7%,Brouwerij Haacht,?-heden
Tonneke,"hoge gisting, amber",5%,Brouwerij Contreras,1818-heden
Toria Blond,hoge gisting,"6,5%",De Hoevebrouwers,?-heden
Toria Tripel,"hoge gisting, tripel","8,7%",De Hoevebrouwers,?-heden
Totentrekker,amber,"5,5%",Buitenlust,?-heden
Tournay,hoge gisting,"6,7%",Brasserie de Cazeau,?-heden
Tournay de Noël,"stout, kerstbier","8,2%",Brasserie de Cazeau,?-heden
Tournay Noire,stout,"7,6%",Brasserie de Cazeau,?-heden
Tournée Générale,spéciale belge,"6,5%",Brouwerij Duvel Moortgat,2009-?
Tournée Générale Tripel Hop,"blond, hoge gisting","7,5%",Brouwerij Palm,2011-heden
Toverhekske,amber,"5,9%",Brouwerij Walrave,?-heden
Trammelantje,amber,"6,5%",Bierfirma Den Haene,?-heden
Trappieter,amber,"6,5%",Bierfirma Trappieter,?-heden
Tremist,"hoge gisting, blond",6%,Extremis,2010-heden
Triest Blond,hoge gisting,6%,Microbrouwerij Den Triest,?-heden
Triest Dubbel,hoge gisting,8%,Microbrouwerij Den Triest,?-heden
Triest Kriek,"witbier, fruitbier","5,2%",Microbrouwerij Den Triest,?-heden
Triest Tripel,"hoge gisting, tripel","7,5%",Microbrouwerij Den Triest,?-heden
Triest X-mas,"hoge gisting, kerstbier","8,5%",Microbrouwerij Den Triest,?-heden
Triomfbier Vooruit,amber,6%,Kunstencentrum Vooruit,2013-heden
Tripel Kanunnik,tripel,"8,2%",Brouwerij en stokerij Wilderen,2011-heden
Tripel Karmeliet,tripel,"8,4%",Brouwerij Bosteels,1996-heden
Tripel Klok,tripel,"8,5%",Brouwerij Boelens,2009-heden
Tripel Trezeke,tripel,"7,5%",Brouwerij Den Triest,?-?
Triple de Brabant,"tripel, blond","8,5%",Groep John Martin,?-heden
Triple Jack,pale ale,"6,1%",Brouwerij Stokhove,
Triple Moine,tripel,"7,3%",Brasserie Du Bocq,1987-heden
Triporteur from Heaven,"ale, blond","6,2%",BOMBrewery,
Triporteur from Hell,"ale, bruin","6,6%",BOMBrewery,
Trisser,tripel,"7,5%",De Verhuisbrouwerij,2004-heden
Triverius,tarwebier,"6,8%",Brouwerij De Graal,?-?
Troubadour Blond,blond,"6,5%",Brouwerij The Musketeers,2000-heden
Troubadour Imperial Stout,imperial stout,9%,Brouwerij The Musketeers,
Troubadour Magma,tripel India Pale Ale,9%,Brouwerij The Musketeers,2010-heden
Troubadour Obscura,stout,"8,2%",Brouwerij The Musketeers,?-heden
Troubadour Spéciale,speciale belge,"5,7%",Brouwerij The Musketeers,?-heden
Troublette,witbier,5%,Brasserie Caracole,1992-heden
TRPL,"hoge gisting, biologisch, tripel",8%,Brouwerij Jessenhofke,2002-heden
Tsjeeses,"hoge gisting, blond",10%,De Struise Brouwers,
Tsjeeses Reserva,"hoge gisting, goud",10%,De Struise Brouwers,
Tumulus 800,tarwebier,6%,De Proefbrouwerij in opdracht van De Kale Ridders,2011-heden
